,Title,Directed by,Produced by,Screenplay by,Based on,Starring,Music by,Cinematography,Edited by,Production companies,Distributed by,Running time,Country,Language,Running Time,Budget,Release date,Written by,Production company,Story by
55,The Killer,Marcelo Galvão,,,,Diogo Morgado Nill Marcondes Deto Montenegro Maria de Medeiros Étienne Chicot,,,,,Netflix,,Brazil,Portuguese,,,2017,,,Marcelo Galvão
56,A Christmas Prince,Alex Zamm,Amy Krell,,,Rose McIver Ben Lamb Tom Knight Sarah Douglas Daniel Fathers Alice Krige Tahirah Sharif,Zack Ryan,Viorel Sergovici,Marshall Harvey,,Netflix,92 minutes,United States,English,92,,2017,Karen Schaler Nathan Atkins,MPCA,
57,El Camino Christmas,David E. Talbert,"['Kimberly Quinn', 'Theodore Melfi']",,,Luke Grimes Vincent D'Onofrio Dax Shepard Kurtwood Smith Michelle Mylett Emilio Rivera Kimberly Quinn Jessica Alba Tim Allen,Christopher Lennertz,Tim Suhrstedt,Troy Takaki,,Netflix,99 minutes,United States,English,99,,2017,"['Chris Wehner', 'Theodore Melfi']","['Goldenlight Films', 'Brother']",
58,Christmas Inheritance,Ernie Barbarash,David Anselmo,,,Eliza Taylor Jake Lacy Andie MacDowell Michael Xavier,Terry Frewer,Peter Benison,Gordon McClellan,,Netflix,104 minutes,United States,English,104,,2017,Dinah Eng,Motion Picture Corporation of America,
59,Bright,David Ayer,Eric Newman David Ayer Bryan Unkeless Ted Sarandos,,,Will Smith Joel Edgerton Noomi Rapace Lucy Fry Édgar Ramírez Ike Barinholtz,David Sardy,Roman Vasyanov,Michael Tronick,,Netflix,118 minutes,United States,English,118,90000000,2017,Max Landis,Overbrook Entertainment Trigger Warning Entertainment Grand Electric Netflix,
60,The Polka King,Maya Forbes,"['Jack Black', 'Stuart Cornfeld', 'Monica Levinson', 'Priyanka Mattoo', 'David Permut', 'Shivani Rawat', 'Wallace Wolodarsky']","['Maya Forbes', 'Wallace Wolodarsky']","['The Man Who Would Be Polka King', 'by Joshua Brown and John Mikulak']","['Jack Black', 'Jenny Slate', 'Jason Schwartzman', 'Jacki Weaver']",,Andrei Bowden-Schwartz,Catherine Haight,,Netflix,95 minutes,United States,English,95,,2017,,"['Red Hour Productions', 'Electric Dynamite', 'Permut Presentations', 'ShivHans Pictures']",
61,Step Sisters,Charles Stone III,Matt Alvarez Simon Horsman Benjamin Jones Jeffrey Soros Lena Waithe,,,Megalyn Echikunwoke Lyndon Smith Eden Sher Marque Richardson Matt McGorry Naturi Naughton,,Christopher Baffa,Matt Friedman,,Netflix,108 minutes,United States,English,108,10000000,2018,Chuck Hayward,Los Angeles Media Fund,
62,Open House,Matt Angel Suzanne Coote,Dan Angel Matt Angel Suzanne Coote,,,Dylan Minnette Piercey Dalton Sharif Atkins Patricia Bethune Aaron Abrams,Joseph Shirley,Filip Vandewal,Bradley McLaughlin,,Netflix,94 minutes,United States,English,94,,2018,Matt Angel Suzanne Coote,,
63,Blockbuster,July Hygreck,,,,Syrus Shahidi Charlotte Gabris Tom Hygreck,,,,Virginie Films Rosebud Entertainment Pictures Other Angle Pictures,Netflix,85 minutes,France,French,85,,2018,July Hygreck (screenplay) Tom Hygreck (screenplay),,
64,A Futile and Stupid Gesture,David Wain,Jonathan Stern Peter Principato Ted Sarandos,John Aboud Michael Colton,"['A Futile and Stupid Gesture', 'by', 'Josh Karp']",Will Forte Domhnall Gleeson Martin Mull Joel McHale Thomas Lennon John Gemberling Matt Walsh Rick Glassman Jon Daly Seth Green Emmy Rossum,,Kevin Atkinson,Jamie Gross David Egan Robert Nassau,,Netflix,101 minutes,United States,English,101,,2018,,Abominable Pictures Principato-Young Entertainment,
65,The Cloverfield Paradox,Julius Onah,J. J. Abrams Lindsey Weber,Oren Uziel,,Daniel Brühl Elizabeth Debicki Aksel Hennie Gugu Mbatha-Raw Chris O'Dowd John Ortiz David Oyelowo Zhang Ziyi,Bear McCreary,Dan Mindel,Alan Baumgarten Matt Evans Rebecca Valente,Paramount Pictures Bad Robot Productions,Netflix,102 minutes,United States,English,102,45000000,2018,,,Oren Uziel Doug Jung
66,When We First Met,Ari Sandel,Adam Saunders Mason Novick Mary Viola Michelle Knudsen McG,,,Adam DeVine Alexandra Daddario Shelley Hennig Andrew Bachelor Robbie Amell,Eric V. Hachikian,David Hennings,Jeffrey Wolf,,Netflix,97 minutes,United States,English,97,9500000,2018,"['John Whittington', 'Isabelle Nuru Dayne']",Footprint Features MXN Entertainment Wonderland Sound and Vision,
67,Love Per Square Foot,Anand Tiwari,Ronnie Screwvala,,,"['Vicky Kaushal', 'Angira Dhar', 'Alankrita Sahai', 'Ratna Pathak Shah', 'Supriya Pathak']","['Sohail Sen', 'Anand Bajpai']",Avinash Arun,Sanyukta Kaza,,Netflix,133 minutes,India,Hindi,133,,2018,"['Anand Tiwari', 'Sumeet Vyas']",RSVP Movies,
68,Irreplaceable You,Stephanie Laing,Farah Abushwesha Christie Colliopoulos Buzz Koenig Jonathan Tropper,,,Gugu Mbatha-Raw Michiel Huisman Brian Tyree Henry Steve Coogan Timothy Simons Jacki Weaver Kate McKinnon Christopher Walken Tamara Tunie,Lesley Barber,Magdalena Górka,,,Netflix,96 minutes,United States,English,96,,2018,Bess Wohl,ACE Tropper Ink Productions Rocliffe Productions PYPO Opposite Field Pictures The Exchange,
69,Mute,Duncan Jones,Stuart Fenegan,Michael Robert Johnson Duncan Jones,,Alexander Skarsgård Paul Rudd Justin Theroux,Clint Mansell,Gary Shaw,Laura Jennings Barrett Heathcote,Liberty Films UK Studio Babelsberg,Netflix,126 minutes,Germany,German,126,,2018,,,Duncan Jones
70,The Outsider,Martin Zandvliet,John Linson Art Linson Ken Kao,,,Jared Leto Tadanobu Asano Kippei Shiina Rory Cochrane Shiori Kutsuna Emile Hirsch,Sune Martin,Camilla Hjelm Knudsen,Mikkel E.G. Nielsen,,Netflix,120 minutes,Japan,Japanese,120,,2018,Andrew Baldwin,Linson Entertainment Waypoint Entertainment,
